force;displacement;velocity;current;frequency
0.475756586;23.29067802;48.54026705;0;1
0.471345603;23.34918976;47.60065986;0;1
0.467155397;23.40666771;46.65917348;0;1
0.463432014;23.46352577;45.71584508;0;1
0.458278388;23.51952934;44.77071189;0;1
0.454300612;23.5742836;43.82381123;0;1
0.450545788;23.62771416;42.87518048;0;1
0.446572393;23.68024635;41.92485709;0;1
0.441066593;23.73247337;40.97287858;0;1
0.437579602;23.783041;40.01928253;0;1
0.433350593;23.83254433;39.06410659;0;1
0.429634601;23.88136864;38.10738847;0;1
0.425974995;23.92926025;37.14916593;0;1
0.422143608;23.97613335;36.1894768;0;1
0.418981999;24.02189255;35.22835897;0;1
0.414907396;24.0671978;34.26585039;0;1
0.412087798;24.11200142;33.30198906;0;1
0.408033997;24.15548897;32.33681301;0;1
0.404146194;24.19727516;31.37036037;0;1
0.401075602;24.23827171;30.40266927;0;1
0.397891402;24.27903366;29.43377794;0;1
0.394401014;24.31777382;28.4637246;0;1
0.391319007;24.35570526;27.49254757;0;1
0.387872994;24.39326668;26.52028518;0;1
0.384454787;24.42895889;25.54697581;0;1
0.380592793;24.46424103;24.57265789;0;1
0.376870394;24.49829865;23.59736988;0;1
0.374044389;24.53108025;22.62115029;0;1
0.371387601;24.56282043;21.64403766;0;1
0.367538601;24.59381676;20.66607056;0;1
0.364140987;24.6231041;19.68728759;0;1
0.36083141;24.65197945;18.70772741;0;1
0.358070612;24.67963982;17.72742868;0;1
0.355675191;24.70610428;16.74643009;0;1
0.351818591;24.73181534;15.76477039;0;1
0.348589391;24.75592041;14.78248832;0;1
0.345985204;24.77987671;13.79962266;0;1
0.343095601;24.80243301;12.81621222;0;1
0.340228409;24.8241024;11.83229582;0;1
0.337716013;24.84445572;10.84791229;0;1
0.334235609;24.86405182;9.863100515;0;1
0.331326604;24.88217163;8.877899356;0;1
0.3275114;24.89927483;7.892347714;0;1
0.323965788;24.9161644;6.906484495;0;1
0.320096999;24.93243408;5.920348619;0;1
0.315948814;24.9472599;4.933979019;0;1
0.312631607;24.96073341;3.947414633;0;1
0.308829397;24.97301865;2.96069441;0;1
0.306072801;24.98512268;1.973857304;0;1
0.302829802;24.99615288;0.986942274;0;1
0.299251795;25.00663757;-1.17195E-05;0;1
0.294903189;25.01537132;-0.986965712;0;1
0.291202813;25.02326965;-1.973880741;0;1
0.287835002;25.03119087;-2.960717845;0;1
0.283228606;25.03806496;-3.947438065;0;1
0.278636605;25.04260254;-4.934002446;0;1
0.273996592;25.04650307;-5.920372042;0;1
0.26854679;25.05049324;-6.906507911;0;1
0.262239188;25.052845;-7.892371123;0;1
0.255015612;25.05470276;-8.877922758;0;1
0.248300806;25.0551796;-9.863123908;0;1
0.241058394;25.05467033;-10.84793568;0;1
0.231791407;25.05349731;-11.83231919;0;1
0.219407603;25.05120659;-12.81623558;0;1
0.204927593;25.0484333;-13.79964601;0;1
0.187334001;25.0446167;-14.78251166;0;1
0.166946799;25.03995132;-15.76479371;0;1
0.144964799;25.0352459;-16.7464534;0;1
0.124913;25.02893639;-17.72745196;0;1
0.103826001;25.02185249;-18.70775068;0;1
0.081929803;25.01304245;-19.68731085;0;1
0.062479801;25.00439644;-20.66609379;0;1
0.044171002;24.99423599;-21.64406088;0;1
0.0260578;24.98352051;-22.62117349;0;1
0.0081624;24.97161865;-23.59739306;0;1
-0.0089322;24.95898247;-24.57268104;0;1
-0.025177799;24.94540977;-25.54699893;0;1
-0.047180202;24.93157196;-26.52030828;0;1
-0.0676094;24.91634941;-27.49257065;0;1
-0.076357603;24.90033722;-28.46374765;0;1
-0.082223997;24.88353539;-29.43380096;0;1
-0.093186997;24.86613655;-30.40269227;0;1
-0.1148756;24.84726143;-31.37038333;0;1
-0.128664002;24.82689857;-32.33683595;0;1
-0.134521604;24.80651665;-33.30201196;0;1
-0.145922005;24.78515625;-34.26587327;0;1
-0.161123604;24.76216125;-35.22838182;0;1
-0.177084193;24.73928261;-36.18949961;0;1
-0.186124399;24.71440315;-37.1491887;0;1
-0.192031801;24.68808174;-38.1074112;0;1
-0.197756603;24.66129494;-39.06412929;0;1
-0.207402602;24.63288689;-40.0193052;0;1
-0.218998402;24.60342026;-40.97290121;0;1
-0.230535999;24.57219124;-41.92487968;0;1
-0.242762998;24.54027939;-42.87520303;0;1
-0.255095989;24.5071907;-43.82383374;0;1
-0.265691191;24.47357178;-44.77073436;0;1
-0.272658795;24.43886566;-45.7158675;0;1
-0.269824386;24.40266037;-46.65919586;0;1
-0.258863807;24.36435699;-47.6006822;0;1
